mois,jour,heure,consommation,prevision_1,prevision_0,fioul,charbon,gaz,nucleaire,eolien,solaire,hydraulique,pompage,bioenergies,echanges_physiques,taux_co2,echanges_angleterre,echanges_espagne,echanges_italie,echanges_suisse,echanges_allemagne_belgique,fioul_tac,fioul_cogen,fioul_autres,gaz_tac,gaz_cogen,gaz_ccg,gaz_autres,hydro_ecluses,hydro_lacs,hydro_turbines,bio_dechets,bio_biomasse,bio_biogaz
5,24,6,81023.0,165350.0,164900.0,304.0,709.0,3489.0,79148.0,1819.0,10.0,13173.0,-3432.0,2024.0,-16221.0,55.0,-2104.0,-3800.0,-4734.0,134.0,-5238.0,38.0,174.0,84.0,8.0,962.0,2421.0,98.0,9728.0,3291.0,153.0,1002.0,566.0,457.0
5,24,7,90915.0,185650.0,186300.0,305.0,954.0,4039.0,80779.0,1678.0,468.0,17317.0,-696.0,2025.0,-15952.0,59.0,-2704.0,-6300.0,-4896.0,2300.0,-3950.0,39.0,174.0,84.0,8.0,1048.0,2883.0,98.0,10700.0,4961.0,1655.0,1007.0,563.0,455.0
5,24,8,98516.0,199300.0,199500.0,305.0,989.0,4304.0,81162.0,1388.0,2003.0,21088.0,-124.0,2010.0,-14607.0,58.0,-3000.0,-6300.0,-4916.0,2314.0,-2521.0,40.0,173.0,85.0,9.0,1059.0,3138.0,98.0,11503.0,5674.0,3912.0,993.0,560.0,457.0
5,24,9,102449.0,204750.0,206500.0,305.0,1000.0,4449.0,81405.0,956.0,4340.0,21708.0,-74.0,1991.0,-13633.0,57.0,-3000.0,-6300.0,-4916.0,1996.0,-752.0,38.0,173.0,86.0,9.0,1055.0,3287.0,98.0,11814.0,6143.0,3751.0,1003.0,531.0,458.0
5,24,10,104158.0,208400.0,208250.0,306.0,994.0,4430.0,81319.0,824.0,6642.0,20640.0,-74.0,1896.0,-12818.0,56.0,-2000.0,-6300.0,-4916.0,1064.0,438.0,38.0,174.0,86.0,8.0,1017.0,3305.0,98.0,11806.0,5417.0,3417.0,986.0,456.0,454.0
5,24,11,105519.0,211750.0,210000.0,306.0,981.0,4457.0,81160.0,854.0,8458.0,18566.0,-73.0,1923.0,-11112.0,56.0,-2000.0,-6300.0,-4916.0,1452.0,2012.0,38.0,174.0,85.0,8.0,1010.0,3340.0,98.0,11046.0,4800.0,2719.0,968.0,505.0,450.0
5,24,12,107199.0,214700.0,214500.0,308.0,972.0,4443.0,81181.0,982.0,9577.0,17214.0,-74.0,1943.0,-9345.0,56.0,-2000.0,-6300.0,-4916.0,1376.0,4274.0,38.0,176.0,86.0,8.0,1023.0,3317.0,94.0,10854.0,4675.0,1684.0,956.0,535.0,452.0
5,24,13,107133.0,213750.0,213400.0,306.0,1002.0,4344.0,80904.0,1067.0,10099.0,16661.0,-34.0,1961.0,-9178.0,56.0,-4000.0,-6300.0,-4896.0,573.0,5992.0,38.0,175.0,86.0,8.0,991.0,3251.0,94.0,10514.0,3895.0,2252.0,962.0,538.0,461.0
5,24,14,106152.0,210100.0,209700.0,306.0,1045.0,4125.0,80810.0,1148.0,10193.0,15651.0,-30.0,1963.0,-9058.0,56.0,-4000.0,-6300.0,-4916.0,1356.0,4992.0,38.0,176.0,84.0,8.0,964.0,3059.0,94.0,10043.0,3630.0,1978.0,964.0,539.0,460.0
5,24,15,103327.0,203950.0,204350.0,303.0,1052.0,3666.0,80760.0,1284.0,9877.0,14676.0,-153.0,1985.0,-10125.0,54.0,-4000.0,-6300.0,-4916.0,1996.0,2850.0,37.0,174.0,85.0,8.0,900.0,2664.0,94.0,9564.0,3378.0,1734.0,966.0,539.0,480.0
