mois,jour,heure,perte
1,28,20,1691
1,28,21,1597
1,28,22,1622
1,28,23,1702
1,29,0,1552
1,29,1,1524
1,29,2,1578
1,29,3,1552
1,29,4,1504
1,29,5,1540
1,29,6,1538
1,29,7,1659
1,29,8,1691
1,29,9,1677
1,29,10,1620
1,29,11,1571
1,29,12,1540
1,29,13,1481
1,29,14,1428
1,29,15,1394
1,29,16,1392
1,29,17,1409
1,29,18,1534
1,29,19,1579
1,29,20,1512
1,29,21,1539
1,29,22,1583
1,29,23,1722
1,30,0,1731
1,30,1,1680
1,30,2,1792
1,30,3,1684
1,30,4,1621
1,30,5,1625
1,30,6,1750
1,30,7,1822
1,30,8,1753
1,30,9,1599
1,30,10,1599
1,30,11,1599
1,30,12,1603
1,30,13,1613
1,30,14,1584
1,30,15,1535
1,30,16,1496
1,30,17,1504
1,30,18,1645
1,30,19,1710
1,30,20,1730
1,30,21,1712
1,30,22,1715
1,30,23,1803
1,31,0,1741
1,31,1,1734
1,31,2,1705
1,31,3,1594
1,31,4,1441
1,31,5,1391
1,31,6,1415
1,31,7,1404
1,31,8,1388
1,31,9,1469
1,31,10,1460
1,31,11,1447
1,31,12,1491
1,31,13,1437
1,31,14,1467
1,31,15,1481
1,31,16,1511
1,31,17,1479
1,31,18,1460
1,31,19,1503
1,31,20,1488
1,31,21,1479
1,31,22,1521
1,31,23,1610
2,1,0,1538
2,1,1,1514
2,1,2,1530
2,1,3,1470
2,1,4,1445
2,1,5,1456
2,1,6,1417
2,1,7,1463
2,1,8,1498
2,1,9,1507
2,1,10,1471
2,1,11,1445
2,1,12,1419
2,1,13,1387
2,1,14,1369
2,1,15,1360
2,1,16,1370
2,1,17,1370
2,1,18,1505
2,1,19,1561
2,1,20,1500
2,1,21,1497
2,1,22,1546
2,1,23,1680
2,2,0,1602
2,2,1,1531
2,2,2,1505
2,2,3,1453
2,2,4,1418
2,2,5,1439
2,2,6,1470
2,2,7,1487
2,2,8,1517
2,2,9,1509
2,2,10,1490
2,2,11,1494
2,2,12,1500
2,2,13,1472
2,2,14,1473
2,2,15,1429
2,2,16,1424
2,2,17,1435
2,2,18,1581
2,2,19,1645
2,2,20,1531
2,2,21,1460
2,2,22,1526
2,2,23,1603
2,3,0,1561
2,3,1,1537
2,3,2,1469
2,3,3,1363
2,3,4,1357
2,3,5,1414
2,3,6,1471
2,3,7,1527
2,3,8,1617
2,3,9,1637
2,3,10,1622
2,3,11,1587
2,3,12,1545
2,3,13,1510
2,3,14,1494
2,3,15,1461
2,3,16,1463
2,3,17,1503
2,3,18,1645
2,3,19,1732
2,3,20,1592
2,3,21,1501
2,3,22,1576
2,3,23,1701
2,4,0,1620
2,4,1,1532
2,4,2,1569
2,4,3,1493
2,4,4,1482
2,4,5,1520
2,4,6,1577
2,4,7,1718
2,4,8,1808
2,4,9,1778
2,4,10,1735
2,4,11,1679
2,4,12,1675
2,4,13,1626
2,4,14,1582
2,4,15,1545
2,4,16,1561
2,4,17,1557
2,4,18,1683
2,4,19,1816
2,4,20,1686
2,4,21,1562
2,4,22,1577
2,4,23,1639
2,5,0,1572
2,5,1,1528
2,5,2,1527
2,5,3,1499
2,5,4,1491
2,5,5,1508
2,5,6,1519
2,5,7,1606
2,5,8,1702
2,5,9,1637
2,5,10,1564
2,5,11,1533
2,5,12,1531
2,5,13,1457
2,5,14,1431
2,5,15,1390
2,5,16,1395
2,5,17,1446
2,5,18,1514
2,5,19,1556
2,5,20,1500
2,5,21,1441
2,5,22,1463
2,5,23,1544
2,6,0,1536
2,6,1,1509
2,6,2,1586
2,6,3,1518
2,6,4,1509
2,6,5,1543
2,6,6,1574
2,6,7,1550
2,6,8,1464
2,6,9,1429
2,6,10,1401
2,6,11,1434
2,6,12,1471
2,6,13,1478
2,6,14,1498
2,6,15,1484
2,6,16,1484
